client_id,month_index,repayment_status
1,1,2
1,2,2
1,3,-1
1,4,-1
1,5,-2
1,6,-2
2,1,-1
2,2,2
2,3,0
2,4,0
2,5,0
2,6,2
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
5,1,-1
5,2,0
5,3,-1
5,4,0
5,5,0
5,6,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
8,1,0
8,2,-1
8,3,-1
8,4,0
8,5,0
8,6,-1
9,1,0
9,2,0
9,3,2
9,4,0
9,5,0
9,6,0
10,1,-2
10,2,-2
10,3,-2
10,4,-2
10,5,-1
10,6,-1
11,1,0
11,2,0
11,3,2
11,4,0
11,5,0
11,6,-1
12,1,-1
12,2,-1
12,3,-1
12,4,-1
12,5,-1
12,6,2
13,1,-1
13,2,0
13,3,-1
13,4,-1
13,5,-1
13,6,-1
14,1,1
14,2,2
14,3,2
14,4,0
14,5,0
14,6,2
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
16,1,1
16,2,2
16,3,0
16,4,0
16,5,0
16,6,0
17,1,0
17,2,0
17,3,2
17,4,2
17,5,2
17,6,2
18,1,0
18,2,0
18,3,0
18,4,-1
18,5,-1
18,6,-1
19,1,1
19,2,-2
19,3,-2
19,4,-2
19,5,-2
19,6,-2
20,1,1
20,2,-2
20,3,-2
20,4,-2
20,5,-2
20,6,-2
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,-1
22,1,-1
22,2,-1
22,3,-1
22,4,-1
22,5,-1
22,6,-1
23,1,2
23,2,0
23,3,0
23,4,2
23,5,2
23,6,2
24,1,-2
24,2,-2
24,3,-2
24,4,-2
24,5,-2
24,6,-2
25,1,0
25,2,0
25,3,0
25,4,-1
25,5,0
25,6,0
26,1,0
26,2,0
26,3,0
26,4,0
26,5,0
26,6,0
27,1,1
27,2,-2
27,3,-1
27,4,-1
27,5,-1
27,6,-1
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,0
29,1,-1
29,2,-1
29,3,-1
29,4,-1
29,5,-1
29,6,-1
30,1,0
30,2,0
30,3,0
30,4,0
30,5,0
30,6,0
31,1,-1
31,2,-1
31,3,-1
31,4,-1
31,5,-1
31,6,-1
32,1,2
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
33,1,0
33,2,0
33,3,0
33,4,0
33,5,0
33,6,0
34,1,-2
34,2,-2
34,3,-2
34,4,-2
34,5,-2
34,6,-2
35,1,-2
35,2,-2
35,3,-2
35,4,-2
35,5,-2
35,6,-2
36,1,-1
36,2,-1
36,3,-2
36,4,-2
36,5,-2
36,6,-1
37,1,0
37,2,0
37,3,0
37,4,0
37,5,0
37,6,0
38,1,0
38,2,0
38,3,0
38,4,0
38,5,0
38,6,-1
39,1,1
39,2,-1
39,3,-1
39,4,-2
39,5,-2
39,6,-2
40,1,-1
40,2,-1
40,3,2
40,4,-1
40,5,0
40,6,-1
41,1,0
41,2,0
41,3,0
41,4,0
41,5,0
41,6,0
42,1,0
42,2,0
42,3,0
42,4,0
42,5,0
42,6,0
43,1,0
43,2,0
43,3,0
43,4,0
43,5,0
43,6,0
44,1,0
44,2,0
44,3,0
44,4,0
44,5,0
44,6,0
45,1,0
45,2,0
45,3,0
45,4,2
45,5,0
45,6,0
46,1,-2
46,2,-2
46,3,-2
46,4,-2
46,5,-2
46,6,-2
47,1,0
47,2,0
47,3,2
47,4,-1
47,5,0
47,6,0
48,1,0
48,2,0
48,3,-1
48,4,0
48,5,0
48,6,-2
49,1,-1
49,2,-1
49,3,-1
49,4,-1
49,5,-1
49,6,-1
50,1,0
50,2,0
50,3,0
50,4,0
50,5,0
50,6,0
51,1,1
51,2,2
51,3,2
51,4,2
51,5,2
51,6,0
52,1,0
52,2,0
52,3,0
52,4,0
52,5,0
52,6,0
53,1,-2
53,2,-2
53,3,-2
53,4,-2
53,5,-2
53,6,-2
54,1,1
54,2,2
54,3,0
54,4,0
54,5,0
54,6,0
55,1,2
55,2,0
55,3,0
55,4,0
55,5,0
55,6,0
56,1,-2
56,2,-2
56,3,-2
56,4,-2
56,5,-2
56,6,-2
57,1,0
57,2,0
57,3,0
57,4,-1
57,5,-1
57,6,-1
58,1,0
58,2,0
58,3,0
58,4,0
58,5,0
58,6,0
59,1,-1
59,2,3
59,3,2
59,4,2
59,5,2
59,6,2
60,1,0
60,2,0
60,3,0
60,4,0
60,5,0
60,6,0
61,1,0
61,2,0
61,3,0
61,4,0
61,5,0
61,6,0
62,1,0
62,2,0
62,3,0
62,4,0
62,5,0
62,6,-1
63,1,2
63,2,2
63,3,2
63,4,2
63,5,2
63,6,2
64,1,0
64,2,0
64,3,0
64,4,-2
64,5,-2
64,6,-2
65,1,-1
65,2,-1
65,3,-2
65,4,-2
65,5,-1
65,6,-1
66,1,-2
66,2,-2
66,3,-2
66,4,-1
66,5,2
66,6,2
67,1,2
67,2,2
67,3,2
67,4,0
67,5,0
67,6,0
68,1,2
68,2,-1
68,3,-1
68,4,-1
68,5,-1
68,6,-1
69,1,1
69,2,-2
69,3,-2
69,4,-1
69,5,2
69,6,-1
70,1,2
70,2,0
70,3,0
70,4,0
70,5,0
70,6,0
71,1,-1
71,2,-1
71,3,-1
71,4,-1
71,5,-1
71,6,-1
72,1,2
72,2,2
72,3,2
72,4,2
72,5,2
72,6,2
73,1,-1
73,2,-1
73,3,-1
73,4,-1
73,5,2
73,6,-1
74,1,1
74,2,-2
74,3,-1
74,4,-1
74,5,-1
74,6,-1
75,1,-1
75,2,-1
75,3,-1
75,4,-1
75,5,-1
75,6,-1
76,1,0
76,2,0
76,3,2
76,4,0
76,5,0
76,6,0
77,1,-1
77,2,0
77,3,0
77,4,0
77,5,0
77,6,0
78,1,-1
78,2,-1
78,3,-1
78,4,-1
78,5,-1
78,6,-1
79,1,0
79,2,0
79,3,0
79,4,0
79,5,0
79,6,0
80,1,1
80,2,-2
80,3,-2
80,4,-2
80,5,-2
80,6,-2
81,1,0
81,2,0
81,3,0
81,4,0
81,5,0
81,6,0
82,1,0
82,2,0
82,3,0
82,4,0
82,5,0
82,6,-1
83,1,0
83,2,0
83,3,0
83,4,0
83,5,0
83,6,0
84,1,0
84,2,0
84,3,2
84,4,0
84,5,0
84,6,0
85,1,0
85,2,0
85,3,0
85,4,0
85,5,0
85,6,0
86,1,0
86,2,0
86,3,0
86,4,0
86,5,0
86,6,0
87,1,-1
87,2,-1
87,3,2
87,4,0
87,5,-1
87,6,-1
88,1,0
88,2,0
88,3,0
88,4,0
88,5,0
88,6,-1
89,1,0
89,2,0
89,3,0
89,4,-1
89,5,-1
89,6,-1
90,1,2
90,2,2
90,3,0
90,4,0
90,5,0
90,6,2
91,1,2
91,2,2
91,3,2
91,4,2
91,5,2
91,6,2
92,1,-1
92,2,-1
92,3,-1
92,4,0
92,5,0
92,6,-2
93,1,-2
93,2,-2
93,3,-2
93,4,-2
93,5,-2
93,6,-2
94,1,-1
94,2,-1
94,3,-1
94,4,-1
94,5,-1
94,6,-2
95,1,0
95,2,0
95,3,0
95,4,0
95,5,0
95,6,0
96,1,0
96,2,0
96,3,0
96,4,0
96,5,0
96,6,0
97,1,-1
97,2,-1
97,3,-1
97,4,-1
97,5,-1
97,6,0
98,1,0
98,2,0
98,3,0
98,4,0
98,5,0
98,6,0
99,1,0
99,2,0
99,3,0
99,4,0
99,5,0
99,6,0
100,1,0
100,2,0
100,3,0
